image,prompt,clip_score
black jacket.png,"A black leather jacket, fashion photography, highly detailed",0.2721
blue_hoodie.png,"A modern blue oversized hoodie, streetwear fashion, professional fashion photography",0.3323
BrownSaree.png,"A brown saree, traditional Indian fashion, elegant clothing",0.3311
Denim jacket.png,"A denim jacket, casual fashion, high quality fabric",0.2434
MarronLehenga.png,"A maroon lehenga, traditional Indian bridal fashion, highly detailed",0.3425
navybluesuit.png,"A formal navy blue suit, professional fashion photography",0.315
red_dress.png,"A red dress, elegant fashion photography",0.3364
redsummerdress.png,"A red summer dress, lightweight fabric, fashion photography",0.3092
violethoodie.png,"A violet hoodie, streetwear fashion, oversized fit",0.3443
whitehoodie.png,"A white oversized hoodie, streetwear fashion, professional photography",0.3169
